pid,xml
133-1954,https://dblp.org/pid/133/1954.xml
133-3638,https://dblp.org/pid/133/3638.xml
133-9910,https://dblp.org/pid/133/9910.xml
134-9031,https://dblp.org/pid/134/9031.xml
135-3665,https://dblp.org/pid/135/3665.xml
135-4661,https://dblp.org/pid/135/4661.xml
135-5141,https://dblp.org/pid/135/5141.xml
135-7623,https://dblp.uni-trier.de/pid/135/7623.xml
136-7882,https://dblp.org/pid/136/7882.xml
136-7969,https://dblp.uni-trier.de/pid/136/7969.xml
137-8445,https://dblp.org/pid/137/8445.xml
137-9588,https://dblp.org/pid/137/9588.xml
139-0855,https://dblp.org/pid/139/0855.xml
139-0871,https://dblp.org/pid/139/0871.xml
139-1128,https://dblp.org/pid/139/1128.xml
139-2312,https://dblp.org/pid/139/2312.xml
139-7506,https://dblp.org/pid/139/7506.xml
139-7927,https://dblp.org/pid/139/7927.xml
14-10147,https://dblp.org/pid/14/10147.xml
14-10827,https://dblp.org/pid/14/10827.xml
14-3692,https://dblp.org/pid/14/3692.xml
14-4251,https://dblp.org/pid/14/4251.xml
14-5155-1,https://dblp.org/pid/14/5155-1.xml
14-6896,https://dblp.org/pid/14/6896.xml
14-716,https://dblp.uni-trier.de/pid/14/716.xml
14-7259,https://dblp.org/pid/14/7259.xml
14-8543,https://dblp.uni-trier.de/pid/14/8543.xml
140-7434,https://dblp.org/pid/140/7434.xml
141-4440,https://dblp.org/pid/141/4440.xml
141-4448,https://dblp.org/pid/141/4448.xml
142-7802,https://dblp.org/pid/142/7802.xml
143-0258-1,https://dblp.org/pid/143/0258-1.xml
143-6186,https://dblp.org/pid/143/6186.xml
143-7236,https://dblp.org/pid/143/7236.xml
145-6329,https://dblp.org/pid/145/6329.xml
146-6282,https://dblp.org/pid/146/6282.xml
146-6971,https://dblp.org/pid/146/6971.xml
147-1186,https://dblp.org/pid/147/1186.xml
147-1189,https://dblp.org/pid/147/1189.xml
147-1195,https://dblp.org/pid/147/1195.xml
147-1198,https://dblp.org/pid/147/1198.xml
147-1241,https://dblp.org/pid/147/1241.xml
147-1263,https://dblp.org/pid/147/1263.xml
147-4971,https://dblp.org/pid/147/4971.xml
147-9053,https://dblp.uni-trier.de/pid/147/9053.xml
149-1281,https://dblp.org/pid/149/1281.xml
149-1789,https://dblp.org/pid/149/1789.xml
149-2405,https://dblp.org/pid/149/2405.xml
