name,country,institution,dblp,pid,final_url,expertise
wook-shin han,south korea,postech,https://dblp.org/pers/h/Han:Wook=Shin.html,62-2450,https://dblp.org/pid/62/2450.html,1
zainul charbiwala,india,"university of california, los angeles",https://dblp.org/pid/62/5169.html,62-5169,https://dblp.org/pid/62/5169.html,7
francesco gullo,italy,unicredit,https://dblp.uni-trier.de/pers/g/Gullo:Francesco.html,63-3664,https://dblp.uni-trier.de/pid/63/3664.html,9
annalisa appice,italy,university of bari,https://dblp.org/pers/a/Appice:Annalisa.html,63-5512,https://dblp.org/pid/63/5512.html,4
anshumali shrivastava,united states,rice university,https://dblp.org/pers/s/Shrivastava:Anshumali.html,63-9828,https://dblp.org/pid/63/9828.html,4
john boaz lee,united states,worcester polytechnic institute,https://dblp.org/pers/l/Lee:John_Boaz.html,63-9993,https://dblp.org/pid/63/9993.html,6
jianguo wang,united states,purdue university,https://dblp.uni-trier.de/pid/64/1071-1.html,64-1071-1,https://dblp.uni-trier.de/pid/64/1071-1.html,3
guoren wang,china,beijing institute of technology,https://dblp.org/pid/64/146.html,64-146,https://dblp.org/pid/64/146.html,6
chuan shi,china,beijing university of posts and telecommunications,https://dblp.org/pers/s/Shi:Chuan.html,64-3041,https://dblp.org/pid/64/3041.html,7
zoi kaoudi,"{'germany', 'qatar'}","{'tu berlin', 'qatar computing research institute'}",https://dblp.org/pers/k/Kaoudi:Zoi.html,65-1457,https://dblp.org/pid/65/1457.html,10
claudia plant,austria,university of wien,https://dblp.org/pid/65/3446.html,65-3446,https://dblp.org/pid/65/3446.html,10
spyros blanas,united states,the ohio state university,https://dblp.org/pers/b/Blanas:Spyros.html,65-5338,https://dblp.org/pid/65/5338.html,3
deepak mishra,india,indian institute of technology jodhpur,https://dblp.uni-trier.de/pers/m/Mishra:Deepak.html,65-6758,https://dblp.uni-trier.de/pid/65/6758.html,7
fei chiang,canada,mcmaster university,https://dblp.uni-trier.de/pers/c/Chiang:Fei.html,66-2556,https://dblp.uni-trier.de/pid/66/2556.html,3
qingkai zeng,china,university of notre dame,https://dblp.org/pers/z/Zeng:Qingkai.html,66-3005,https://dblp.org/pid/66/3005.html,2
barna saha,united states,"university of california, berkeley",https://dblp.uni-trier.de/pers/s/Saha:Barna.html,66-3027,https://dblp.uni-trier.de/pid/66/3027.html,10
qi zhu,united states,university of illinois urbana-champaign,https://dblp.org/pid/66/5923-8.html,66-5923-8,https://dblp.org/pid/66/5923-8.html,4
eduard dragut,united states,temple university,https://dblp.org/pers/d/Dragut:Eduard_Constantin.html,66-6919,https://dblp.org/pid/66/6919.html,8
peifeng yin,united states,pinterest,https://dblp.org/pers/y/Yin:Peifeng.html,66-8700,https://dblp.org/pid/66/8700.html,9
goce trajcevski,united states,iowa state university,https://dblp.org/pers/t/Trajcevski:Goce.html,66-974,https://dblp.org/pid/66/974.html,7
yi lu,united states,google,https://dblp.org/pid/67/1328-10.html,67-1328-10,https://dblp.org/pid/67/1328-10.html,1
amit gupta,switzerland,ecole polytechnique fdrale de lausanne,https://dblp.org/pers/hd/g/Gupta:Amit,67-2583,https://dblp.org/pid/67/2583.html,3
arijit khan,singapore,nanyang technological university,https://dblp.org/pid/67/2933.html,67-2933,https://dblp.org/pid/67/2933.html,9
jing gao,united states,university at buffalo,https://dblp.uni-trier.de/pers/hd/g/Gao_0004:Jing,67-4834-4,https://dblp.uni-trier.de/pid/67/4834-4.html,1
gang chen,china,zhejiang university,https://dblp.org/pid/67/6383-1.html,67-6383-1,https://dblp.org/pid/67/6383-1.html,9
jochen l. leidner,united kingdom,refinitiv labs and university of sheffield,https://dblp.uni-trier.de/pers/l/Leidner:Jochen_L=.html,67-6415,https://dblp.uni-trier.de/pid/67/6415.html,8
v.g. vinod vydiswaran,united states,university of michigan,https://dblp.uni-trier.de/pers/v/Vydiswaran:V=_G=_Vinod.html,67-6469,https://dblp.uni-trier.de/pid/67/6469.html,1
wen hua,australia,the university of queensland,https://dblp.org/pers/h/Hua:Wen.html,68-11145,https://dblp.org/pid/68/11145.html,6
rachel pottinger,canada,ubc,https://dblp.org/pid/68/1297.html,68-1297,https://dblp.org/pid/68/1297.html,5
raju balakrishnan,united states,orkus,https://dblp.uni-trier.de/pers/b/Balakrishnan:Raju.html,68-1677,https://dblp.uni-trier.de/pid/68/1677.html,6
v. susheela devi,india,"indian institute of science, bangalore",https://dblp.org/pers/d/Devi:V=_Susheela.html,68-3004,https://dblp.org/pid/68/3004.html,10
ekaterini ioanou,netherlands,tilburg university,https://dblp.org/pid/68/3366.html,68-3366,https://dblp.org/pid/68/3366.html,5
liang-chih yu,taiwan,yuan ze university,https://dblp.org/pers/y/Yu:Liang=Chih.html,68-5894,https://dblp.org/pid/68/5894.html,6
kok-leong ong,australia,la trobe university,https://dblp.org/pid/68/6119.html,68-6119,https://dblp.org/pid/68/6119.html,5
daniel oliveira,brazil,"uff, brazil",https://dblp.org/pid/68/7553-1.html,68-7553-1,https://dblp.org/pid/68/7553-1.html,5
gong cheng,china,nanjing university,https://dblp.uni-trier.de/pers/hd/c/Cheng_0001:Gong,69-1215-1,https://dblp.uni-trier.de/pid/69/1215-1.html,4
lu chen,denmark,"{'aalborg university', 'aalborg university, denmark'}",https://dblp.org/pid/69/157-1.html,69-157-1,https://dblp.org/pid/69/157-1.html,3
tony tan,taiwan,national taiwan university,https://dblp.org/pers/t/Tan:Tony.html,69-159,https://dblp.org/pid/69/159.html,3
meng jiang,united states,university of notre dame,https://dblp.uni-trier.de/pers/hd/j/Jiang_0001:Meng,69-339-1,https://dblp.uni-trier.de/pid/69/339-1.html,4
fusheng wang,united states,stonybrook university,https://dblp.org/pid/69/3405-1.html,69-3405-1,https://dblp.org/pid/69/3405-1.html,9
cornelia caragea,united states,university of illinois at chicago,https://dblp.uni-trier.de/pers/c/Caragea:Cornelia.html,69-6680,https://dblp.uni-trier.de/pid/69/6680.html,2
danica porobic,switzerland,oracle,https://dblp.org/pers/p/Porobic:Danica.html,69-9726,https://dblp.org/pid/69/9726.html,9
diyi yang,united states,georgia institute of technology,https://dblp.org/pers/y/Yang:Diyi.html,70-11145,https://dblp.org/pid/70/11145.html,1
junhu wang,australia,"griffith university, australia",https://dblp.uni-trier.de/pers/w/Wang:Junhu.html,70-2659,https://dblp.uni-trier.de/pid/70/2659.html,1
shanmuganathan raman,india,iit gandhinagar,https://dblp.uni-trier.de/pers/r/Raman:Shanmuganathan.html,70-4688,https://dblp.uni-trier.de/pid/70/4688.html,5
vikram goyal,india,iiit-delhi,https://dblp.uni-trier.de/pers/g/Goyal:Vikram.html,70-6404,https://dblp.uni-trier.de/pid/70/6404.html,6
zi huang,australia,university of queensland,https://dblp.org/pers/h/Huang:Zi.html,70-6862,https://dblp.org/pid/70/6862.html,6
pengfei duan,china,wuhan university of technology,https://dblp.org/pers/d/Duan:Pengfei.html,70-9686,https://dblp.org/pid/70/9686.html,3
mayuresh  prakash kunjir,qatar,"qatar computing research institute, hbku",https://dblp.org/pid/71/11498.html,71-11498,https://dblp.org/pid/71/11498.html,7
sambuddha roy,india,,https://dblp.uni-trier.de/pers/r/Roy:Sambuddha.html,71-1647,https://dblp.uni-trier.de/pid/71/1647.html,9
philippe cudre-mauroux,switzerland,university of fribourg,https://dblp.org/pers/c/Cudr=eacute==Mauroux:Philippe.html,71-5578,https://dblp.org/pid/71/5578.html,10
sudipto das,united states,"{'amazon web services', 'microsoft research'}",https://dblp.org/pers/d/Das:Sudipto.html,71-5974,https://dblp.org/pid/71/5974.html,8
olga poppe,united states,microsoft,https://dblp.org/pid/71/7422.html,71-7422,https://dblp.org/pid/71/7422.html,6
dong deng,united states,"{'rutgers universituy - new brunswick', 'rutgers university'}",https://dblp.org/pid/71/8700-1.html,71-8700-1,https://dblp.org/pid/71/8700-1.html,8
megha khosla,germany,"l3s research center, leibniz university",https://dblp.org/pid/71/9649.html,71-9649,https://dblp.org/pid/71/9649.html,5
tirthankar dasgupta,india,tata consultancy services,https://dblp.org/pers/d/Dasgupta:Tirthankar.html,72-36,https://dblp.org/pid/72/36.html,8
ruoming jin,united states,kent state university,https://dblp.uni-trier.de/pers/j/Jin:Ruoming.html,72-4662,https://dblp.uni-trier.de/pid/72/4662.html,10
gabriele tolomei,italy,sapienza university of rome,https://dblp.org/pers/t/Tolomei:Gabriele.html,72-7456,https://dblp.org/pid/72/7456.html,4
tim weninger,united states,university of notre dame,https://dblp.org/pers/w/Weninger:Tim.html,73-2015,https://dblp.org/pid/73/2015.html,10
mohammad sorower,united states,phillip,https://dblp.uni-trier.de/pers/s/Sorower:Mohammad_S=.html,73-2496,https://dblp.uni-trier.de/pid/73/2496.html,8
florin rusu,united states,uc merced,https://dblp.org/pers/r/Rusu:Florin.html,73-343,https://dblp.org/pid/73/343.html,10
kai zheng,china,university of electronic science and technology of china,https://dblp.org/pers/hd/z/Zheng_0001:Kai,73-3928-1,https://dblp.org/pid/73/3928-1.html,2
michael grossniklaus,germany,u konstanz,https://dblp.org/pid/73/6114.html,73-6114,https://dblp.org/pid/73/6114.html,5
iulian sandu popa,france,"inria & david lab.,univ. of versailles saint-quentin, france",https://dblp.org/pers/p/Popa:Iulian_Sandu.html,73-6460,https://dblp.org/pid/73/6460.html,9
cagatay demiralp,united states,"{'megagon labs', 'sigma computing'}",https://dblp.org/pid/74/20.html,74-20,https://dblp.org/pid/74/20.html,4
yanyan shen,china,"{'shjt', 'shanghai jiao tong university'}",https://dblp.org/pers/s/Shen:Yanyan.html,74-2905,https://dblp.org/pid/74/2905.html,6
benny kimelfeld,israel,technion,https://dblp.org/pid/74/3195.html,74-3195,https://dblp.org/pid/74/3195.html,1
lin ma,united states,cmu,https://dblp.org/pid/74/3608-6.html,74-3608-6,https://dblp.org/pid/74/3608-6.html,9
pan du,canada,university of montreal,https://dblp.uni-trier.de/pers/d/Du:Pan.html,74-5694,https://dblp.uni-trier.de/pid/74/5694.html,1
irini fundulaki,greece,"ics forth, greece",https://dblp.uni-trier.de/pers/f/Fundulaki:Irini.html,74-6086,https://dblp.uni-trier.de/pid/74/6086.html,5
sabine storandt,germany,university of konstanz,https://dblp.org/pid/74/9877.html,74-9877,https://dblp.org/pid/74/9877.html,4
boon thau loo,united states,univ. of pennsylvania,https://dblp.org/pid/75/3108.html,75-3108,https://dblp.org/pid/75/3108.html,3
richa singh,india,iit jodhpur,https://dblp.org/pers/hd/s/Singh_0001:Richa,75-3512,https://dblp.org/pid/75/3512.html,6
amitava das,india,"indian institute of information technoogy, sri city",https://dblp.org/pid/75/5002.html,75-5002,https://dblp.org/pid/75/5002.html,2
oliver kennedy,united states,"university at buffalo, suny",https://dblp.uni-trier.de/pers/k/Kennedy:Oliver.html,75-5478,https://dblp.uni-trier.de/pid/75/5478.html,3
hai-tao yu,japan,university of tsukuba,https://dblp.uni-trier.de/pid/75/6588-3.html,75-6588-3,https://dblp.uni-trier.de/pid/75/6588-3.html,5
matthias boehm,"{'austria', 'united states'}","{'graz university of technology', 'tu graz', 'ibm almaden'}",https://dblp.org/pid/75/887.html,75-887,https://dblp.org/pid/75/887.html,9
aaron elmore,united states,university of chicago,https://dblp.org/pers/e/Elmore:Aaron_J=.html,75-9436,https://dblp.org/pid/75/9436.html,2
yixiang fang,"{'china', 'hong kong sar'}","{'school of data science, the chinese university of hong kong, shenzhen', 'the chinese university of hong kong, shenzhen'}",https://dblp.org/pid/76/1735.html,76-1735,https://dblp.org/pid/76/1735.html,10
sridhar chimalakonda,india,indian institute of technology tirupati,https://dblp.org/pid/76/1783.html,76-1783,https://dblp.org/pid/76/1783.html,8
xin liu,japan,tokyo institute of technology,https://dblp.uni-trier.de/pers/hd/l/Liu_0020:Xin,76-1820-20,https://dblp.uni-trier.de/pid/76/1820-20.html,2
peng cheng,china,east china normal university,https://dblp.org/pid/76/185-3.html,76-185-3,https://dblp.org/pid/76/185-3.html,5
ingo mueller,switzerland,eth zurich,https://dblp.org/pers/m/M=uuml=ller_0002:Ingo.html,76-3160-2,https://dblp.org/pid/76/3160-2.html,7
nikesh garera,india,flipkart,https://dblp.org/pid/76/322.html,76-322,https://dblp.org/pid/76/322.html,8
nikolaus augsten,austria,university of salzburg,https://dblp.org/pers/a/Augsten:Nikolaus.html,76-3961,https://dblp.org/pid/76/3961.html,1
marcelo arenas,chile,universidad catolica & imfd chile,https://dblp.org/pid/76/6735.html,76-6735,https://dblp.org/pid/76/6735.html,6
vijay arya,india,ibm,https://dblp.org/pid/77/1485.html,77-1485,https://dblp.org/pid/77/1485.html,1
tsuyoshi murata,japan,tokyo institute of technology,https://dblp.uni-trier.de/pers/m/Murata:Tsuyoshi.html,77-1703,https://dblp.uni-trier.de/pid/77/1703.html,2
feida zhu,singapore,"{'singapore management university', 'smu'}",https://dblp.org/pid/77/1985.html,77-1985,https://dblp.org/pid/77/1985.html,1
xin cao,australia,university of new south wales,https://dblp.org/pid/77/2970-1.html,77-2970-1,https://dblp.org/pid/77/2970-1.html,5
max heimel,germany,snowflake,https://dblp.org/pid/77/3753.html,77-3753,https://dblp.org/pid/77/3753.html,10
bin yang,denmark,aalborg university,https://dblp.uni-trier.de/pers/hd/y/Yang_0002:Bin,77-377-2,https://dblp.uni-trier.de/pid/77/377-2.html,9
sudeepa roy,united states,duke university,https://dblp.org/pers/r/Roy:Sudeepa.html,77-4620,https://dblp.org/pid/77/4620.html,6
ying yan,china,ant financial services group,https://dblp.org/pers/y/Yan:Ying.html,77-4933,https://dblp.org/pid/77/4933.html,1
amitabha bagchi,india,"indian institute of technology, delhi",https://dblp.uni-trier.de/pers/b/Bagchi:Amitabha.html,77-5034,https://dblp.uni-trier.de/pid/77/5034.html,1
elena baralis,italy,dipartimento di automatica e informatica politecnico di torino,https://dblp.org/pid/77/5283.html,77-5283,https://dblp.org/pid/77/5283.html,2
huy vo,united states,cuny,https://dblp.org/pid/77/6778.html,77-6778,https://dblp.org/pid/77/6778.html,9
ju fan,china,renmin university of china,https://dblp.org/pers/f/Fan:Ju.html,78-4413,https://dblp.org/pid/78/4413.html,3
manish singh,india,"indian institute of technology, hyderabad",https://dblp.uni-trier.de/pers/s/Singh_0002:Manish.html,78-459-2,https://dblp.uni-trier.de/pid/78/459-2.html,1
eddie kohler,united states,harvard university,https://dblp.uni-trier.de/pers/k/Kohler:Eddie.html,78-5231,https://dblp.uni-trier.de/pid/78/5231.html,5
min xie,united states,instacart,https://dblp.org/pid/78/8779.html,78-8779,https://dblp.org/pid/78/8779.html,7
james b. wendt,united states,google,https://dblp.uni-trier.de/pers/hd/w/Wendt:James_B=,79-11278,https://dblp.uni-trier.de/pid/79/11278.html,6
roger zimmermann,singapore,national university of singapore,https://dblp.org/pid/79/1490.html,79-1490,https://dblp.org/pid/79/1490.html,1
qian lin,"{'china', 'singapore'}","{'national university of singapore', 'bytedance'}",https://dblp.org/pid/79/3108.html,79-3108,https://dblp.org/pid/79/3108.html,5
yongbin liu,china,tsinghua university,https://dblp.org/pers/l/Liu:Yongbin.html,79-9544,https://dblp.org/pid/79/9544.html,5
prithu banerjee,india,ubc,https://dblp.org/pid/80/10462.html,80-10462,https://dblp.org/pid/80/10462.html,6
kai zeng,china,"alibaba, china",https://dblp.uni-trier.de/pers/hd/z/Zeng_0002:Kai,80-1651-2,https://dblp.uni-trier.de/pid/80/1651-2.html,3
eric lo,hong kong sar,chinese university of hong kong,https://dblp.org/pid/80/2320.html,80-2320,https://dblp.org/pid/80/2320.html,5
yunjun gao,china,zhejiang university,https://dblp.org/pers/g/Gao:Yunjun.html,80-2651,https://dblp.org/pid/80/2651.html,7
qiang huang,singapore,nus,https://dblp.org/pid/80/2732.html,80-2732,https://dblp.org/pid/80/2732.html,5
michael mathioudakis,finland,university of helsinki,https://dblp.org/pers/m/Mathioudakis:Michael.html,80-3560,https://dblp.org/pid/80/3560.html,5
ke yang,united states,umass amherst,https://dblp.org/pid/80/4136.html,80-4136,https://dblp.org/pid/80/4136.html,5
luciano barbosa,brazil,universidade federal de pernambuco,https://dblp.org/pid/80/468.html,80-468,https://dblp.org/pid/80/468.html,10
nga tran,united states,tableau,https://dblp.org/pers/t/Tran:Nga.html,80-4976,https://dblp.org/pid/80/4976.html,10
vikram pudi,india,none,https://dblp.org/pers/p/Pudi:Vikram.html,80-594,https://dblp.org/pid/80/594.html,3
gabriel ghinita,united states,univ. of massachusetts boston,https://dblp.org/pers/g/Ghinita:Gabriel.html,80-6521,https://dblp.org/pid/80/6521.html,1
hwanjo yu,south korea,postech,https://dblp.org/pers/y/Yu:Hwanjo.html,80-6889,https://dblp.org/pid/80/6889.html,5
parth gupta,spain,amazon,https://dblp.org/pers/g/Gupta:Parth.html,80-8429,https://dblp.org/pid/80/8429.html,9
luo mai,united kingdom,"{'imperial college', 'university of edinburgh'}",https://dblp.org/pid/81/10470.html,81-10470,https://dblp.org/pid/81/10470.html,1
anja gruenheid,united states,"{'microsoft', 'google inc.'}",https://dblp.org/pid/81/10578.html,81-10578,https://dblp.org/pid/81/10578.html,3
xiaoyang wang,china,zhejiang gongshang university,https://dblp.org/pid/81/1832-2.html,81-1832-2,https://dblp.org/pid/81/1832-2.html,4
lei zou,china,peking university,https://dblp.org/pers/hd/z/Zou_0001:Lei,81-3390-1,https://dblp.org/pid/81/3390-1.html,1
eunyee koh,united states,adobe,https://dblp.org/pers/k/Koh:Eunyee.html,81-4388,https://dblp.org/pid/81/4388.html,1
dingming wu,china,shenzhen university,https://dblp.org/pid/81/6181.html,81-6181,https://dblp.org/pid/81/6181.html,8
hongzhi wang,china,harbin institute of technology,https://dblp.uni-trier.de/pid/81/940.html,81-940,https://dblp.uni-trier.de/pid/81/940.html,2
da yan,united states,university of alabama at birmingham,https://dblp.org/pid/81/9436-1.html,81-9436-1,https://dblp.org/pid/81/9436-1.html,8
chunbin lin,united states,amazon aws,https://dblp.org/pers/l/Lin:Chunbin.html,82-11411,https://dblp.org/pid/82/11411.html,7
matthias brantner,united states,oracle inc.,https://dblp.org/pers/b/Brantner:Matthias.html,82-1740,https://dblp.org/pid/82/1740.html,10
michael cafarella,united states,"{'mit csail', 'university of michigan'}",https://dblp.org/pid/82/231.html,82-231,https://dblp.org/pid/82/231.html,10
shady elbassuoni,lebanon,aub,https://dblp.org/pers/e/Elbassuoni:Shady.html,82-4089,https://dblp.org/pid/82/4089.html,2
chen wang,china,,https://dblp.org/pid/82/4206-11.html,82-4206-11,https://dblp.org/pid/82/4206-11.html,6
mauro conti,italy,university of padua,https://dblp.uni-trier.de/pers/c/Conti:Mauro.html,82-4386,https://dblp.uni-trier.de/pid/82/4386.html,6
jun gao,china,peking university,https://dblp.uni-trier.de/pid/82/4977-3.html,82-4977-3,https://dblp.uni-trier.de/pid/82/4977-3.html,3
qiang yang,hong kong sar,hkust,https://dblp.org/pid/82/6362-1.html,82-6362-1,https://dblp.org/pid/82/6362-1.html,2
manos athanassoulis,united states,boston university,https://dblp.org/pers/a/Athanassoulis:Manos.html,82-7402,https://dblp.org/pid/82/7402.html,1
julian shun,united states,mit,https://dblp.org/pid/82/9876.html,82-9876,https://dblp.org/pid/82/9876.html,6
batya kenig,israel,technion,https://dblp.org/pid/83/11148.html,83-11148,https://dblp.org/pid/83/11148.html,5
shantanu sharma,united states,"{'new jersey institute of technology', 'university of california, irvine'}",https://dblp.org/pid/83/2389-1.html,83-2389-1,https://dblp.org/pid/83/2389-1.html,9
germain forestier,france,university of haute alsace,https://dblp.uni-trier.de/pers/f/Forestier:Germain.html,83-2426,https://dblp.uni-trier.de/pid/83/2426.html,1
xiaofei zhang,united states,university of memphis,https://dblp.org/pers/hd/z/Zhang_0002:Xiaofei,83-4809-2,https://dblp.org/pid/83/4809-2.html,7
min zhang,china,tsinghua university,https://dblp.uni-trier.de/pers/hd/z/Zhang_0006:Min,83-5342-6,https://dblp.uni-trier.de/pid/83/5342-6.html,5
ioannis konstantinou,greece,national technical university of athens,https://dblp.org/pid/83/741.html,83-741,https://dblp.org/pid/83/741.html,5
viswanath gunturi,india,iit ropar,https://dblp.org/pers/g/Gunturi:Viswanath.html,83-7998,https://dblp.org/pid/83/7998.html,2
di you,united states,worcester polytechnic institute,https://dblp.org/pers/y/You:Di.html,83-8652,https://dblp.org/pid/83/8652.html,3
niyati chhaya,india,"big data experience lab, adobe research",https://dblp.org/pers/c/Chhaya:Niyati.html,83-9923,https://dblp.org/pid/83/9923.html,7
dan kifer,united states,penn state university,https://dblp.org/pid/84/114.html,84-114,https://dblp.org/pid/84/114.html,6
vanessa braganholo,brazil,fluminense federal university,https://dblp.org/pers/b/Braganholo:Vanessa.html,84-2055,https://dblp.org/pid/84/2055.html,2
elena demidova,germany,l3s research center,https://dblp.uni-trier.de/pers/d/Demidova:Elena.html,84-2154,https://dblp.uni-trier.de/pid/84/2154.html,6
jingren zhou,united states,alibaba group,https://dblp.uni-trier.de/pers/z/Zhou:Jingren.html,84-2644,https://dblp.uni-trier.de/pid/84/2644.html,2
fei wu,china,hust,https://dblp.org/pid/84/3254-5.html,84-3254-5,https://dblp.org/pid/84/3254-5.html,2
sheng wang,united states,new york university,https://dblp.org/pid/85/1868.html,85-1868,https://dblp.org/pid/85/1868.html,2
sheng wang,china,alibaba group,https://dblp.org/pid/85/1868-11.html,85-1868-11,https://dblp.org/pid/85/1868-11.html,3
sheng wang,china,wuhan university,https://dblp.org/pid/85/1868-7.html,85-1868-7,https://dblp.org/pid/85/1868-7.html,2
de-nian yang,taiwan,academia sinica,https://dblp.org/pers/y/Yang:De=Nian.html,85-318,https://dblp.org/pid/85/318.html,4
hong cheng,hong kong sar,chinese university of hong kong,https://dblp.uni-trier.de/pid/85/5637-1.html,85-5637-1,https://dblp.uni-trier.de/pid/85/5637-1.html,9
shen gao,china,peking university,https://dblp.org/pers/g/Gao:Shen.html,85-7967,https://dblp.org/pid/85/7967.html,6
immanuel trummer,"{'switzerland', 'united states'}","{'epfl', 'cornell'}",https://dblp.org/pers/t/Trummer:Immanuel.html,85-9079,https://dblp.org/pid/85/9079.html,1
ghislain fourny,switzerland,eth zurich,https://dblp.org/pid/86/1723.html,86-1723,https://dblp.org/pid/86/1723.html,8
gerard melo,united states,rutgers university,https://dblp.org/pers/m/Melo:Gerard_de.html,86-1747,https://dblp.org/pid/86/1747.html,7
yao bin,china,"shanghai jiaotong university, china",https://dblp.org/pid/86/508-2.html,86-508-2,https://dblp.org/pid/86/508-2.html,10
pinar tozun,denmark,itu copenhagen,https://dblp.org/pers/t/T=ouml=z=uuml=n:Pinar.html,86-9726,https://dblp.org/pid/86/9726.html,3
chuan lei,united states,"{'ibm research - almaden', 'instacart'}",https://dblp.org/pid/87/10957.html,87-10957,https://dblp.org/pid/87/10957.html,1
vasilis efthymiou,united states,ibm research,https://dblp.org/pers/e/Efthymiou:Vasilis.html,87-11444,https://dblp.org/pid/87/11444.html,5
martin potthast,germany,bauhaus university,https://dblp.uni-trier.de/pers/p/Potthast:Martin.html,87-6573,https://dblp.uni-trier.de/pid/87/6573.html,4
prasant misra,india,tcs research & innovation,https://dblp.org/pid/87/7541.html,87-7541,https://dblp.org/pid/87/7541.html,10
niraj kumar,india,"samsung r&d institute india, bangalore",https://dblp.uni-trier.de/pers/hd/k/Kumar_0001:Niraj,87-819-1,https://dblp.uni-trier.de/pid/87/819-1.html,8
mainack mondal,india,"indian institute of technology, kharagpur",https://dblp.org/pid/87/8324.html,87-8324,https://dblp.org/pid/87/8324.html,1
zhumin chen,china,shandong university,https://dblp.org/pers/c/Chen:Zhumin.html,88-1081,https://dblp.org/pid/88/1081.html,10
mamoru komachi,japan,tokyo metropolitan university,https://dblp.uni-trier.de/pers/k/Komachi:Mamoru.html,88-2433,https://dblp.uni-trier.de/pid/88/2433.html,1
yi chen,united states,njit,https://dblp.uni-trier.de/pers/hd/c/Chen_0001:Yi,88-6466-1,https://dblp.uni-trier.de/pid/88/6466-1.html,4
erietta liarou,united states,harvard,https://dblp.uni-trier.de/pers/l/Liarou:Erietta.html,88-6520,https://dblp.uni-trier.de/pid/88/6520.html,8
yael amsterdamer,israel,bar-ilan university,https://dblp.org/pid/88/9060.html,88-9060,https://dblp.org/pid/88/9060.html,5
vineet chaoji,united states,amazon,https://dblp.uni-trier.de/pers/c/Chaoji:Vineet.html,88-995,https://dblp.uni-trier.de/pid/88/995.html,2
yuqiang chen,china,4paradigm,https://dblp.org/pid/89/211.html,89-211,https://dblp.org/pid/89/211.html,6
wei cheng,united states,nec lab america,https://dblp.org/pid/89/2506-2.html,89-2506-2,https://dblp.org/pid/89/2506-2.html,5
reynold cheng,hong kong sar,"the university of hong kong, china",https://dblp.org/pers/c/Cheng:Reynold.html,89-2619,https://dblp.org/pid/89/2619.html,2
dongxiang zhang,china,zhejiang university,https://dblp.org/pid/89/6013.html,89-6013,https://dblp.org/pid/89/6013.html,3
norman may,germany,sap ag,https://dblp.uni-trier.de/pers/m/May:Norman.html,89-6071,https://dblp.uni-trier.de/pid/89/6071.html,9
markus weimer,united states,microsoft,https://dblp.uni-trier.de/pers/w/Weimer:Markus.html,89-6502,https://dblp.uni-trier.de/pid/89/6502.html,7
jinfei liu,united states,"{'emory university', 'emory university/georgia institute of technology'}",https://dblp.org/pid/89/9935.html,89-9935,https://dblp.org/pid/89/9935.html,7
manoj agarwal,india,microsoft,https://dblp.org/pers/a/Agarwal:Manoj_K=.html,90-1415,https://dblp.org/pid/90/1415.html,6
sahely bhadra,india,indian institute of technology palakkad,https://dblp.org/pid/90/2736.html,90-2736,https://dblp.org/pid/90/2736.html,8
jun xu,china,renmin university of china,https://dblp.org/pers/hd/x/Xu_0001:Jun,90-514-1,https://dblp.org/pid/90/514-1.html,4
haibo hu,hong kong sar,hong kong polytechnic university,https://dblp.org/pid/90/5236-1.html,90-5236-1,https://dblp.org/pid/90/5236-1.html,8
walter cai,united states,snowflake,https://dblp.org/pid/90/7457.html,90-7457,https://dblp.org/pid/90/7457.html,4
paris carbone,sweden,kth royal institute of technology,https://dblp.org/pid/90/7704.html,90-7704,https://dblp.org/pid/90/7704.html,8
yubo chen,china,"institute of automation , chinese academy of sciences",https://dblp.org/pers/hd/c/Chen_0001:Yubo,90-7879,https://dblp.org/pid/90/7879.html,9
raluca ada popa,united states,berkeley,https://dblp.org/pid/91/275.html,91-275,https://dblp.org/pid/91/275.html,3
hong-jie dai,taiwan,national kaohsiung university of science and technology,https://dblp.uni-trier.de/pers/d/Dai:Hong=Jie.html,91-6078,https://dblp.uni-trier.de/pid/91/6078.html,3
leilani battle,united states,u of washington,https://dblp.org/pid/91/7584.html,91-7584,https://dblp.org/pid/91/7584.html,2
alexandros ntoulas,united states,linkedin,https://dblp.org/pers/n/Ntoulas:Alexandros.html,92-2820,https://dblp.org/pid/92/2820.html,10
sanjib kumar das,united states,google,https://dblp.org/pid/92/6085.html,92-6085,https://dblp.org/pid/92/6085.html,3
franois goasdou,france,u. rennes 1,https://dblp.uni-trier.de/pid/92/6981.html,92-6981,https://dblp.uni-trier.de/pid/92/6981.html,3
nikolay yakovets,netherlands,eindhoven  university of technology,https://dblp.org/pid/92/9686.html,92-9686,https://dblp.org/pid/92/9686.html,5
sungpack hong,united states,oracle,https://dblp.org/pers/h/Hong:Sungpack.html,93-5196,https://dblp.org/pid/93/5196.html,5
danish contractor,india,ibm,https://dblp.org/pid/93/9012.html,93-9012,https://dblp.org/pid/93/9012.html,2
miao qiao,new zealand,the university of auckland,https://dblp.org/pers/q/Qiao:Miao.html,93-9883,https://dblp.org/pid/93/9883.html,10
vassilios s. verykios,greece,hellenic open university,https://dblp.org/pid/94/1028.html,94-1028,https://dblp.org/pid/94/1028.html,6
shoaib jameel,united kingdom,kent university,https://dblp.org/pers/j/Jameel:Shoaib.html,94-10440,https://dblp.org/pid/94/10440.html,5
