name,country,institution,dblp,pid,final_url,expertise
donghyun kim,united states,yahoo! research,https://dblp.uni-trier.de/pers/hd/k/Kim:Donghyun,33-6749,https://dblp.uni-trier.de/pid/33/6749.html,3
himanshu gupta,india,ibm india research laboratory,https://dblp.org/pers/g/Gupta:Himanshu.html,330-0760,https://dblp.org/pid/330/0760.html,5
farnoush banaei-kashani,united states,university of colorado-denver,https://dblp.org/pid/34/508.html,34-508,https://dblp.org/pid/34/508.html,6
arindam pal,australia,"data61, csiro",https://dblp.org/pers/hd/p/Pal_0001:Arindam,34-5594,https://dblp.org/pid/34/5594.html,9
john krumm,united states,microsoft research,https://dblp.org/pid/34/5936.html,34-5936,https://dblp.org/pid/34/5936.html,5
nikos mamoulis,"{'hong kong sar', 'greece'}","{'the university of hong kong', 'university of ioannina'}",https://dblp.org/pid/34/6253.html,34-6253,https://dblp.org/pid/34/6253.html,1
qiang zhu,united states,university of michigan - dearborn,https://dblp.org/pers/hd/z/Zhu_0001:Qiang,34-6522-1,https://dblp.org/pid/34/6522-1.html,4
xin xin,china,beijing institute of technology,https://dblp.uni-trier.de/pers/hd/x/Xin_0001:Xin,35-1895-1,https://dblp.uni-trier.de/pid/35/1895-1.html,5
shirish tatikonda,united states,target corp.,https://dblp.org/pers/t/Tatikonda:Shirish.html,35-3834,https://dblp.org/pid/35/3834.html,10
shuai ma,china,beihang university,https://dblp.uni-trier.de/pers/hd/m/Ma_0001:Shuai,35-6569,https://dblp.uni-trier.de/pid/35/6569.html,10
wei wang,hong kong sar,hkust,https://dblp.org/pid/35/7092-30.html,35-7092-30,https://dblp.org/pid/35/7092-30.html,5
wei wang,singapore,"{'bytedance', 'nus'}",https://dblp.org/pid/35/7092-59.html,35-7092-59,https://dblp.org/pid/35/7092-59.html,7
renata borovica-gajic,australia,university of melbourne,https://dblp.org/pid/36/10568.html,36-10568,https://dblp.org/pid/36/10568.html,4
murat kantarcioglu,united states,ut dallas,https://dblp.org/pers/k/Kantarcioglu:Murat.html,36-195,https://dblp.org/pid/36/195.html,1
matei zaharia,united states,stanford and databricks,https://dblp.uni-trier.de/pers/z/Zaharia:Matei.html,36-2133,https://dblp.uni-trier.de/pid/36/2133.html,5
an yan,china,university of california san diego,https://dblp.uni-trier.de/pid/37/10133-3.html,37-10133-3,https://dblp.uni-trier.de/pid/37/10133-3.html,7
liang pang,china,ict,https://dblp.org/pers/p/Pang:Liang.html,37-11078,https://dblp.org/pid/37/11078.html,10
olga papaemmanouil,united states,brandeis university,https://dblp.org/pers/p/Papaemmanouil:Olga.html,37-3024,https://dblp.org/pid/37/3024.html,10
yizhou sun,united states,ucla,https://dblp.org/pers/s/Sun:Yizhou.html,37-3868,https://dblp.org/pid/37/3868.html,6
"{'ronghua li', 'rong-hua li'}",china,beijing institute of technology,https://dblp.org/pid/37/548.html,37-548,https://dblp.org/pid/37/548.html,5
durga toshniwal,india,indian institute of technology roorkee,https://dblp.org/pers/t/Toshniwal:Durga.html,37-640,https://dblp.org/pid/37/640.html,4
andreas lommatzsch,germany,tu berlin,https://dblp.org/pers/l/Lommatzsch:Andreas.html,38-2946,https://dblp.org/pid/38/2946.html,2
shantanu godbole,india,ibm,https://dblp.org/pid/38/3523.html,38-3523,https://dblp.org/pid/38/3523.html,4
takehiro yamamoto,japan,university of hyogo,https://dblp.org/pers/y/Yamamoto:Takehiro.html,38-4395,https://dblp.org/pid/38/4395.html,10
panagiotis bouros,germany,johannes gutenberg university mainz,https://dblp.org/pers/b/Bouros:Panagiotis.html,38-4801,https://dblp.org/pid/38/4801.html,10
leong hou u,macao,university of macau,https://dblp.org/pers/u/U:Leong_Hou.html,38-4996,https://dblp.org/pid/38/4996.html,3
sayan ranu,india,"iit, delhi",https://dblp.org/pers/r/Ranu:Sayan.html,38-768,https://dblp.org/pid/38/768.html,10
ziawasch abedjan,germany,leibniz universitat hannover,https://dblp.uni-trier.de/pid/38/8707.html,38-8707,https://dblp.uni-trier.de/pid/38/8707.html,1
chih-ya shen,taiwan,national tsing hua university,https://dblp.uni-trier.de/pers/s/Shen:Chih=Ya.html,38-8845,https://dblp.uni-trier.de/pid/38/8845.html,8
li xiong,united states,emory u,https://dblp.org/pers/hd/x/Xiong_0001:Li,39-3530-1,https://dblp.org/pid/39/3530-1.html,5
joseph near,united states,university of vermont,https://dblp.org/pid/39/5361.html,39-5361,https://dblp.org/pid/39/5361.html,4
ping lu,china,beihang univ.,https://dblp.org/pers/hd/l/Lu:Ping,39-7035,https://dblp.org/pid/39/7035.html,8
jiannan wang,canada,simon fraser university,https://dblp.org/pers/w/Wang:Jiannan.html,39-7183,https://dblp.org/pid/39/7183.html,7
xiang li,china,east china normal university,https://dblp.org/pid/40/1491-33.html,40-1491-33,https://dblp.org/pid/40/1491-33.html,2
javier parapar,spain,"irlab, computer science dept., university of a corua",https://dblp.org/pers/p/Parapar:Javier.html,40-2161,https://dblp.org/pid/40/2161.html,1
takahiro hara,japan,osaka university,https://dblp.uni-trier.de/pers/h/Hara:Takahiro.html,40-2808,https://dblp.uni-trier.de/pid/40/2808.html,4
guozhang wang,united states,confluent inc.,https://dblp.org/pid/40/3179.html,40-3179,https://dblp.org/pid/40/3179.html,8
mohamed soliman,united states,apple,https://dblp.org/pid/40/4987.html,40-4987,https://dblp.org/pid/40/4987.html,2
daniel kang,united states,stanford,https://dblp.org/pid/40/6300.html,40-6300,https://dblp.org/pid/40/6300.html,3
jianzhong qi,australia,university of melbourne,https://dblp.org/pid/41/1074-1.html,41-1074-1,https://dblp.org/pid/41/1074-1.html,1
eugene wu,united states,columbia university,https://dblp.org/pid/41/3679.html,41-3679,https://dblp.org/pid/41/3679.html,1
zhichun wang,china,beijing normal university,https://dblp.org/pers/w/Wang:Zhichun.html,41-422,https://dblp.org/pid/41/422.html,3
sathya peri,india,indian institute of technology hyderabad,https://dblp.uni-trier.de/pers/p/Peri:Sathya.html,41-5564,https://dblp.uni-trier.de/pid/41/5564.html,5
debasis ganguly,ireland,university of glasgow,https://dblp.org/pers/g/Ganguly:Debasis.html,41-7272,https://dblp.org/pid/41/7272.html,3
manos karpathiotakis,united kingdom,facebook,https://dblp.org/pers/k/Karpathiotakis:Manos.html,41-9728,https://dblp.org/pid/41/9728.html,1
lukasz golab,canada,university of waterloo,https://dblp.uni-trier.de/pers/g/Golab:Lukasz.html,42-3296,https://dblp.uni-trier.de/pid/42/3296.html,1
giorgos giannopoulos,greece,athena research,https://dblp.org/pid/42/4419.html,42-4419,https://dblp.org/pid/42/4419.html,8
kang liu,china,"national laboratory of pattern recognition,institute of automation, chinese academy of sciences",https://dblp.org/pers/hd/l/Liu_0001:Kang,42-4903,https://dblp.org/pid/42/4903.html,10
vagelis hristidis,united states,uc riverside,https://dblp.org/pers/h/Hristidis:Vagelis.html,42-5855,https://dblp.org/pid/42/5855.html,2
muhammad abulaish,india,south asian university,https://dblp.uni-trier.de/pers/a/Abulaish:Muhammad.html,42-904,https://dblp.uni-trier.de/pid/42/904.html,3
"{'ke yi', 'yi ke'}",hong kong sar,"{'hong kong university of science and technology, hong kong', 'hong kong univ. of science and technology'}",https://dblp.org/pid/43/1219-1.html,43-1219-1,https://dblp.org/pid/43/1219-1.html,2
jennie rogers,united states,northwestern university,https://dblp.uni-trier.de/pers/hd/r/Rogers:Jennie,43-2286,https://dblp.uni-trier.de/pid/43/2286.html,3
shivali agarwal,india,"ibm, india research lab",https://dblp.org/pers/a/Agarwal:Shivali.html,43-5188,https://dblp.org/pid/43/5188.html,7
jianhua feng,china,tsinghua university,https://dblp.org/pid/43/6576.html,43-6576,https://dblp.org/pid/43/6576.html,1
dipyaman banerjee,india,ieee,https://dblp.org/pid/43/6688.html,43-6688,https://dblp.org/pid/43/6688.html,10
george papastefanatos,greece,athena research center,https://dblp.org/pid/44/2379.html,44-2379,https://dblp.org/pid/44/2379.html,8
sudip roy,united states,"{'cornell university', 'google'}",https://dblp.org/pers/hd/r/Roy_0002:Sudip,44-4775-2,https://dblp.org/pid/44/4775-2.html,10
carsten binnig,germany,tu dramstadt,https://dblp.uni-trier.de/pers/b/Binnig:Carsten.html,45-1559,https://dblp.uni-trier.de/pid/45/1559.html,10
barzan mozafari,united states,university of michigan,https://dblp.org/pers/m/Mozafari:Barzan.html,45-2495,https://dblp.org/pid/45/2495.html,10
qin zhang,united states,indiana university bloomington,https://dblp.org/pers/hd/z/Zhang_0001:Qin,45-47-1,https://dblp.org/pid/45/47-1.html,2
peter pietzuch,united kingdom,imperial college london,https://dblp.org/pid/45/4887.html,45-4887,https://dblp.org/pid/45/4887.html,3
weiren yu,united kingdom,university of warwick,https://dblp.org/pers/y/Yu:Weiren.html,45-8097,https://dblp.org/pid/45/8097.html,9
